epoch	accuracy	loss	val_accuracy	val_loss
0	0.8221203088760376	0.425907701253891	0.7722761034965515	0.5391486883163452
1	0.8617372512817383	0.3453676104545593	0.8545626997947693	0.3701486587524414
2	0.8922184705734253	0.2748708128929138	0.8629999160766602	0.3424167335033417
3	0.9144388437271118	0.22163799405097961	0.8856608867645264	0.28346604108810425
4	0.9137936234474182	0.22618472576141357	0.8997140526771545	0.30619025230407715
5	0.925625741481781	0.19467070698738098	0.8860800266265869	0.2832633852958679
6	0.9301206469535828	0.18336179852485657	0.8991695046424866	0.2500009536743164
7	0.9218031764030457	0.20413008332252502	0.9049022793769836	0.25057342648506165
8	0.9385984539985657	0.16236910223960876	0.8826460242271423	0.28106820583343506
9	0.9346259236335754	0.17356614768505096	0.9127132296562195	0.22251860797405243
10	0.9316871762275696	0.17895832657814026	0.900046706199646	0.24596905708312988
11	0.9434167146682739	0.1488492637872696	0.9178404808044434	0.21339048445224762
12	0.9364296793937683	0.16800346970558167	0.9148100018501282	0.2513507306575775
13	0.9427870512008667	0.15184715390205383	0.9169964790344238	0.21441268920898438
14	0.9453818798065186	0.14481249451637268	0.9219269752502441	0.20079927146434784
15	0.934715986251831	0.17202338576316833	0.9227428436279297	0.2150421291589737
16	0.9485741257667542	0.13617351651191711	0.9129745364189148	0.2082667499780655
17	0.9447891116142273	0.1467866748571396	0.9199338555335999	0.20402337610721588
18	0.9394827485084534	0.160452201962471	0.9209141731262207	0.1930386871099472
19	0.9518675804138184	0.12736347317695618	0.916560709476471	0.20240333676338196
20	0.943816602230072	0.15065446496009827	0.925716757774353	0.19275255501270294
21	0.9479206204414368	0.13817493617534637	0.9259085059165955	0.18576385080814362
22	0.9514337182044983	0.12993644177913666	0.9072239398956299	0.2210240662097931
23	0.9407913088798523	0.15637506544589996	0.9264193773269653	0.18961192667484283
24	0.9532623887062073	0.12416376918554306	0.9242687225341797	0.1985141932964325
25	0.9492011666297913	0.13460120558738708	0.9274066686630249	0.18483096361160278
26	0.9437224864959717	0.14923197031021118	0.9278462529182434	0.18344268202781677
27	0.9554793834686279	0.1192387044429779	0.9244118332862854	0.19580286741256714
28	0.9483561515808105	0.13849450647830963	0.9253318905830383	0.1904108226299286
29	0.9503334164619446	0.13280075788497925	0.918441653251648	0.1951082944869995
30	0.9541441798210144	0.12245718389749527	0.9232466816902161	0.1939011961221695
31	0.9452510476112366	0.1450183391571045	0.9285072088241577	0.1878184974193573
32	0.9556918144226074	0.11866399645805359	0.9225127696990967	0.190641850233078
33	0.9530212879180908	0.12587088346481323	0.9282149076461792	0.18303252756595612
34	0.9460433125495911	0.1432936042547226	0.9275996685028076	0.18009303510189056
35	0.9576534032821655	0.11321591585874557	0.9270868897438049	0.18377655744552612
36	0.9520984292030334	0.12984468042850494	0.929669201374054	0.17875254154205322
