epoch	accuracy	loss	val_accuracy	val_loss
0	0.9102356433868408	0.23882870376110077	0.895887553691864	0.26885098218917847
1	0.9291443824768066	0.19079232215881348	0.9134990572929382	0.2307972013950348
2	0.9331448078155518	0.17993102967739105	0.9080809354782104	0.2541988790035248
3	0.9464037418365479	0.14914904534816742	0.9171814918518066	0.21563027799129486
4	0.9345229268074036	0.17688056826591492	0.9129186272621155	0.30867335200309753
5	0.9458582997322083	0.15100140869617462	0.9096210598945618	0.23953965306282043
6	0.945832371711731	0.15065839886665344	0.9130845665931702	0.23034875094890594
7	0.9326189756393433	0.18068580329418182	0.9152069091796875	0.23789504170417786
8	0.9518811106681824	0.13698260486125946	0.9088966846466064	0.23904187977313995
9	0.9444151520729065	0.15471921861171722	0.9132966995239258	0.23383662104606628
10	0.939369797706604	0.16369065642356873	0.9010598063468933	0.2593817412853241
11	0.9544421434402466	0.12914210557937622	0.9175754189491272	0.22271282970905304
12	0.9419662952423096	0.15851551294326782	0.9152149558067322	0.2746679186820984
13	0.9511761665344238	0.13731251657009125	0.8983839750289917	0.2651222348213196
14	0.9525474905967712	0.13356369733810425	0.9170613288879395	0.25487658381462097
15	0.9397517442703247	0.16432933509349823	0.917434573173523	0.23049002885818481
16	0.957261323928833	0.12111090868711472	0.9171484708786011	0.2174881547689438
17	0.9511144161224365	0.1370387077331543	0.9123399257659912	0.2547656297683716
18	0.9450851678848267	0.15181519091129303	0.9157907962799072	0.2176288515329361
19	0.9598673582077026	0.11509641259908676	0.8980926275253296	0.25363120436668396
20	0.9486861824989319	0.14347685873508453	0.9157492518424988	0.2509106397628784
21	0.9560093879699707	0.12444986402988434	0.9182858467102051	0.21223340928554535
22	0.9576168060302734	0.12052834779024124	0.9066343903541565	0.24037502706050873
23	0.946163535118103	0.14963538944721222	0.9180712699890137	0.2180311679840088
24	0.9619590640068054	0.10865236073732376	0.9171546101570129	0.2292313277721405
25	0.9559372067451477	0.12528276443481445	0.9170600175857544	0.23206762969493866
26	0.9501965045928955	0.13916969299316406	0.9191437363624573	0.22251169383525848
27	0.9634154438972473	0.10562030225992203	0.9064038395881653	0.24115946888923645
28	0.9539667367935181	0.13088573515415192	0.9143234491348267	0.2450806349515915
29	0.9586197137832642	0.11777517944574356	0.909163236618042	0.22906717658042908
30	0.9612303376197815	0.11126317083835602	0.9176259636878967	0.2211378812789917
31	0.9517742991447449	0.13558810949325562	0.9190046787261963	0.25544947385787964
32	0.9643531441688538	0.10202466696500778	0.8930996656417847	0.2697327733039856
33	0.9591399431228638	0.11702395230531693	0.9179789423942566	0.23164574801921844
34	0.9533336758613586	0.13073650002479553	0.9041675925254822	0.2422036975622177
35	0.9660400748252869	0.09844011068344116	0.9183912873268127	0.24901878833770752
36	0.9576538801193237	0.12189207971096039	0.9144754409790039	0.25456365942955017
